book_name,author,genre,summary
Animal Farm,George Orwell,"{""/m/0dwly"": ""Children's literature"", ""/m/02xlf"": ""Fiction""}"," Old Major, the old boar on the Manor Farm, calls the animals on the farm for a meeting, where he compares the humans to parasites and teaches the animals a revolutionary song, 'Beasts of England'. When Major dies, two young pigs, Snowball and Napoleon, assume command and turn his dream into a philosophy. The animals revolt and drive the drunken and irresponsible Mr Jones from the farm, renaming it ""Animal Farm"". They adopt Seven Commandments of Animal-ism, the most important of which is, ""All animals are equal"". Snowball attempts to teach the animals reading and writing; food is plentiful, and the farm runs smoothly. The pigs elevate themselves to positions of leadership and set aside special food items, ostensibly for their personal health. Napoleon takes the pups from the farm dogs and trains them privately. Napoleon and Snowball struggle for leadership. When Snowball announces his plans to build a windmill, Napoleon has his dogs chase Snowball away and declares himself leader. Napoleon enacts changes to the governance structure of the farm, replacing meetings with a committee of pigs, who will run the farm. Using a young pig named Squealer as a ""mouthpiece"", Napoleon claims credit for the windmill idea. The animals work harder with the promise of easier lives with the windmill. After a violent storm, the animals find the windmill annihilated. Napoleon and Squealer convince the animals that Snowball destroyed it, although the scorn of the neighbouring farmers suggests that its walls were too thin. Once Snowball becomes a scapegoat, Napoleon begins purging the farm with his dogs, killing animals he accuses of consorting with his old rival. He and the pigs abuse their power, imposing more control while reserving privileges for themselves and rewriting history, villainising Snowball and glorifying Napoleon. Squealer justifies every statement Napoleon makes, even the pigs' alteration of the Seven Commandments of Animalism to benefit themselves. 'Beasts of England' is replaced by an anthem glorifying Napoleon, who appears to be adopting the lifestyle of a man. The animals remain convinced that they are better off than they were when under Mr Jones. Squealer abuses the animals' poor memories and invents numbers to show their improvement. Mr Frederick, one of the neighbouring farmers, attacks the farm, using blasting powder to blow up the restored windmill. Though the animals win the battle, they do so at great cost, as many, including Boxer the workhorse, are wounded. Despite his injuries, Boxer continues working harder and harder, until he collapses while working on the windmill. Napoleon sends for a van to take Boxer to the veterinary surgeon's, explaining that better care can be given there. Benjamin, the cynical donkey, who ""could read as well as any pig"", notices that the van belongs to a knacker, and attempts to mount a rescue; but the animals' attempts are futile. Squealer reports that the van was purchased by the hospital and the writing from the previous owner had not been repainted. He recounts a tale of Boxer's death in the hands of the best medical care. Years pass, and the pigs learn to walk upright, carry whips and wear clothes. The Seven Commandments are reduced to a single phrase: ""All animals are equal, but some animals are more equal than others"". Napoleon holds a dinner party for the pigs and the humans of the area, who congratulate Napoleon on having the hardest-working but least fed animals in the country. Napoleon announces an alliance with the humans, against the labouring classes of both ""worlds"". He abolishes practices and traditions related to the Revolution, and changes the name of the farm to ""The Manor Farm"". The animals, overhearing the conversation, notice that the faces of the pigs have begun changing. During a poker match, an argument breaks out between Napoleon and Mr Pilkington, and the animals realise that the faces of the pigs look like the faces of humans, and no one can tell the difference between them. The pigs Snowball, Napoleon, and Squealer adapt Old Major's ideas into an actual philosophy, which they formally name Animalism. Soon after, Napoleon and Squealer indulge in the vices of humans (drinking alcohol, sleeping in beds, trading). Squealer is employed to alter the Seven Commandments to account for this humanisation, an allusion to the Soviet government's revising of history in order to exercise control of the people's beliefs about themselves and their society. The original commandments are: # Whatever goes upon two legs is an enemy. # Whatever goes upon four legs, or has wings, is a friend. # No animal shall wear clothes. # No animal shall sleep in a bed. # No animal shall drink alcohol. # No animal shall kill any other animal. # All animals are equal. Later, Napoleon and his pigs secretly revise some commandments to clear them of accusations of law-breaking (such as ""No animal shall drink alcohol"" having ""to excess"" appended to it and ""No animal shall sleep in a bed"" with ""with sheets"" added to it). The changed commandments are as follows, with the changes bolded: * 4 No animal shall sleep in a bed with sheets. * 5 No animal shall drink alcohol to excess. * 6 No animal shall kill any other animal without cause. Eventually these are replaced with the maxims, ""All animals are equal, but some animals are more equal than others"", and ""Four legs good, two legs better!"" as the pigs become more human. This is an ironic twist to the original purpose of the Seven Commandments, which were supposed to keep order within Animal Farm by uniting the animals together against the humans, and prevent animals from following the humans' evil habits. Through the revision of the commandments, Orwell demonstrates how simply political dogma can be turned into malleable propaganda."
A Clockwork Orange,Anthony Burgess,"{""/m/06n90"": ""Science Fiction"", ""/m/02xlf"": ""Fiction""}"," Alex, a teenager living in near-future England, leads his gang on nightly orgies of opportunistic, random ""ultra-violence."" Alex's friends (""droogs"" in the novel's Anglo-Russian slang, Nadsat) are: Dim, a slow-witted bruiser who is the gang's muscle; Georgie, an ambitious second-in-command; and Pete, who mostly plays along as the droogs indulge their taste for ultra-violence. Characterized as a sociopath and a hardened juvenile delinquent, Alex is also intelligent and quick-witted, with sophisticated taste in music, being particularly fond of Beethoven, or ""Lovely Ludwig Van."" The novel begins with the droogs sitting in their favorite hangout (the Korova Milkbar), drinking milk-drug cocktails, called ""milk-plus"", to hype themselves for the night's mayhem. They assault a scholar walking home from the public library, rob a store leaving the owner and his wife bloodied and unconscious, stomp a panhandling derelict, then scuffle with a rival gang. Joyriding through the countryside in a stolen car, they break into an isolated cottage and maul the young couple living there, beating the husband and raping his wife. In a metafictional touch, the husband is a writer working on a manuscript called ""A Clockwork Orange,"" and Alex contemptuously reads out a paragraph that states the novel's main theme before shredding the manuscript. Back at the milk bar, Alex punishes Dim for some crude behaviour, and strains within the gang become apparent. At home in his dreary flat, Alex plays classical music at top volume while fantasizing of even more orgiastic violence. Alex skips school the next day. Following an unexpected visit from P.R. Deltoid, his ""post-corrective advisor,"" Alex meets a pair of ten-year-old girls and takes them back to his parents' flat, where he administers hard drugs and then rapes them. That evening, Alex finds his droogs in a mutinous mood. Georgie challenges Alex for leadership of the gang, demanding that they pull a ""man-sized"" job. Alex quells the rebellion by slashing Dim's hand and fighting with Georgie, then in a show of generosity takes them to a bar, where Alex insists on following through on Georgie's idea to burgle the home of a wealthy old woman. The break-in starts as farce and ends in tragic pathos, as Alex's attack kills the elderly woman. His escape is blocked by Dim, who attacks Alex, leaving him incapacitated on the front step as the police arrive. Sentenced to prison for murder, Alex gets a job at the Wing chapel playing religious music on the stereo before and after services as well as during the singing of hymns. The prison chaplain mistakes Alex's Bible studies for stirrings of faith (Alex is actually reading Scripture for the violent passages). After Alex's fellow cellmates blame him for beating a troublesome cellmate to death, he agrees to undergo an experimental behaviour-modification treatment called the Ludovico Technique. The technique is a form of aversion therapy in which Alex receives an injection that makes him feel sick while watching graphically violent films, eventually conditioning him to suffer crippling bouts of nausea at the mere thought of violence. As an unintended consequence, the soundtrack to one of the films—Beethoven's Fifth Symphony—renders Alex unable to listen to his beloved classical music. The effectiveness of the technique is demonstrated to a group of VIPs, who watch as Alex collapses before a walloping bully, and abases himself before a scantily-clad young woman whose presence has aroused his predatory sexual inclinations. Though the prison chaplain accuses the state of stripping Alex of free will, the government officials on the scene are pleased with the results and Alex is released into society. Since his parents are now renting his room to a lodger, Alex wanders the streets and enters a public library where he hopes to learn a painless way to commit suicide. There, he accidentally encounters the old scholar he assaulted earlier in the book, who, keen on revenge, beats Alex with the help of his friends. The policemen who come to Alex's rescue turn out to be none other than Dim and former gang rival Billyboy. The two policemen take Alex outside of town and beat him up. Dazed and bloodied, Alex collapses at the door of an isolated cottage, realizing too late that it is the house he and his droogs invaded in the first half of the story. Because the gang wore masks during the assault, the writer does not recognize Alex. The writer, whose name is revealed as F. Alexander, shelters Alex and questions him about the conditioning. During this sequence, it is revealed that Mrs. Alexander died from the injuries inflicted during the gang-rape, and her husband has decided to continue living ""where her fragrant memory persists"" despite the horrid memories. Alexander, a critic of the government, hopes to use Alex as a symbol of state brutality and thereby prevent the incumbent government from being re-elected. Eventually, he begins to realize Alex's role in the happenings of the night two years ago. One of Alexander's radical associates manages to extract a confession from Alex after removing him from F. Alexander's home and then locks him in a flatblock near his former home. Alex is then subjected to a relentless barrage of classical music, prompting him to attempt suicide by leaping from a high window. Alex wakes up in hospital, where he is courted by government officials anxious to counter the bad publicity created by his suicide attempt. With Alexander safely packed off to a mental institution, Alex is offered a well-paying job if he agrees to side with the government. As photographers snap pictures, Alex daydreams of orgiastic violence and realizes the Ludovico conditioning has been reversed: ""I was cured all right."" In the final chapter, Alex has a new trio of droogs, but he finds he is beginning to outgrow his taste for violence. A chance encounter with Pete, now married and settled down, inspires Alex to seek a wife and family of his own. He contemplates the likelihood of his future son being a delinquent as he was, a prospect Alex views fatalistically."
The Plague,Albert Camus,"{""/m/02xlf"": ""Fiction""}"," The text of The Plague is divided into five parts. In the town of Oran, thousands of rats, initially unnoticed by the populace, begin to die in the streets. A hysteria develops soon afterward, causing the local newspapers to report the incident. Authorities responding to public pressure order the collection and cremation of the rats, unaware that the collection itself was the catalyst for the spread of the bubonic plague. The main character, Dr. Bernard Rieux, lives comfortably in an apartment building when strangely the building's concierge, M. Michel, a confidante, dies from a fever. Dr. Rieux consults his colleague, Castel, about the illness until they come to the conclusion that a plague is sweeping the town. They both approach fellow doctors and town authorities about their theory, but are eventually dismissed on the basis of one death. However, as more and more deaths quickly ensue, it becomes apparent that there is an epidemic. Authorities, including the Prefect, M. Othon, are slow to accept that the situation is serious and quibble over the appropriate action to take. Official notices enacting control measures are posted, but the language used is optimistic and downplays the seriousness of the situation. A ""special ward"" is opened at the hospital, but its 80 beds are filled within three days. As the death toll begins to rise, more desperate measures are taken. Homes are quarantined; corpses and burials are strictly supervised. A supply of plague serum finally arrives, but there is only enough to treat existing cases and the country's emergency reserves are depleted. When the daily number of deaths jumps to 30, the town is sealed and an outbreak of plague is officially declared. The town is sealed off. The town gates are shut, rail travel is prohibited, and all mail service is suspended. The use of telephone lines is restricted only to ""urgent"" calls, leaving short telegrams as the only means of communicating with friends or family outside the town. The separation affects daily activity and depresses the spirit of the townspeople, who begin to feel isolated and introverted, and the plague begins to affect various characters. One character, Raymond Rambert, devises a plan to escape the city to join his lover in Paris after city officials refuse his request to leave. He befriends some criminals so that they may smuggle him out of the city. Another character, Father Paneloux, uses the plague as an opportunity to advance his stature in the town by suggesting that the plague was an act of God punishing the citizens' sinful nature. His diatribe falls on the ears of many citizens of the town, who turned to religion in droves but would not have done so under normal circumstances. Cottard, a criminal remorseful enough to attempt suicide yet fearful of being arrested, becomes wealthy as a major smuggler. Meanwhile, Dr. Rieux, a vacationer Jean Tarrou, and a civil servant Joseph Grand exhaustively treat patients in their homes and in the hospital. Rambert informs Tarrou of his escape plan, but when Tarrou tells him that others in the city, including Dr. Rieux, also have loved ones outside the city whom they are not allowed to see, Rambert becomes sympathetic and changes his mind. He then decides to join Tarrou and Dr. Rieux to help fight the epidemic. In mid-August, the situation continues to worsen. People try to escape the town, but some are shot by armed sentries. Violence and looting break out on a small scale, and the authorities respond by declaring martial law and imposing a curfew. Funerals are conducted with more and more speed, no ceremony, and little concern for the feelings of the families of the deceased. The inhabitants passively endure their increasing feelings of exile and separation; despondent, they waste away emotionally as well as physically. In September and October, the town remains at the mercy of the plague. Rieux hears from the sanatorium that his wife's condition is worsening. He also hardens his heart regarding the plague victims so that he can continue to do his work. Cottard, on the other hand, seems to flourish during the plague, because it gives him a sense of being connected to others, since everybody faces the same danger. Cottard and Tarrou attend a performance of Gluck's opera Orpheus and Eurydice, but the actor portraying Orpheus collapses with plague symptoms during the performance. Rambert finally has a chance to escape, but he decides to stay, saying that he would feel ashamed of himself if he left. Towards the end of October, Castel's new anti-plague serum is tried for the first time, but it cannot save the life of Othon's young son, who suffers greatly, as Paneloux, Rieux, and Tarrou look on in horror. Paneloux, who has joined the group of volunteers fighting the plague, gives a second sermon. He addresses the problem of an innocent child's suffering and says it is a test of a Christian's faith, since it requires him either to deny everything or believe everything. He urges the congregation not to give up the struggle but to do everything possible to fight the plague. A few days after the sermon, Paneloux is taken ill. His symptoms do not conform to those of the plague, but the disease still proves fatal. Tarrou and Rambert visit one of the isolation camps, where they meet Othon. When Othon's period of quarantine ends, he elects to stay in the camp as a volunteer because this will make him feel less separated from his dead son. Tarrou tells Rieux the story of his life, and the two men go swimming together in the sea. Grand catches the plague and instructs Rieux to burn all his papers. But Grand makes an unexpected recovery, and deaths from the plague start to decline. By late January, the plague is in full retreat, and the townspeople begin to celebrate the imminent opening of the town gates. Othon, however, does not escape death from the disease. Cottard is distressed by the ending of the epidemic, from which he has profited by shady dealings. Two government employees approach him, and he flees. Despite the epidemic's ending, Tarrou contracts the plague and dies after an heroic struggle. Rieux's wife also dies. In February, the town gates open and people are reunited with their loved ones from other cities. Rambert is reunited with his wife. Rieux reveals that he is the narrator of the chronicle and that he tried to present an objective view of the events. Cottard goes mad and shoots at people from his home. He is arrested. Grand begins working on his sentence again. Rieux reflects on the epidemic and reaches the conclusion that there is more to admire than to despise in humans."
A Fire Upon the Deep,Vernor Vinge,"{""/m/06n90"": ""Science Fiction"", ""/m/01hmnh"": ""Fantasy"", ""/m/02xlf"": ""Fiction""}"," The novel posits that space around the Milky Way is divided into concentric layers called Zones, each being constrained by different laws of physics and each allowing for different degrees of biological and technological advancement. The innermost, the ""Unthinking Depths"", surrounds the galactic core and is incapable of supporting advanced life forms at all. The next layer, the ""Slow Zone"", is roughly equivalent to the real world in behavior and potential. Further out, the zone named the ""Beyond"" can support futuristic technologies such as AI and FTL travel. The outermost zone, the ""Transcend"", contains most of the galactic halo and is populated by incomprehensibly vast and powerful posthuman entities. A human expedition investigates a five-billion-year-old data archive that offers the possibility of unimaginable riches for the ambitious young civilization of the Straumli Realm. The expedition's facility, called High Lab, is gradually compromised by a dormant super-intelligent entity (actually encoded within the archive) later known as the Blight. The Blight rapidly learns how to infiltrate and control the computer systems of High Lab, and even develops the ability to possess and control the living humans. The novel starts with an imaginative description of the evolution of this superintelligence through exponentially accelerating developmental stages, culminating in a transcendent, nigh-omnipotent power that is unfathomable to mere humans. Shortly before its final ""flowering"", the changes in a single minute of the Blight's life are said to exceed those of 10,000 years of human civilization. Recognizing the danger of what they have awakened, the researchers at High Lab attempt to flee in two ships. Suspicious, the Blight discovers that one of the ships contains a data storage device in its cargo manifest; assuming it contains information that could harm it, the Blight destroys the ship. The second ship is allowed to escape, unharmed, as the Blight assumes that it is no threat; but later realizes that it actually held a countermeasure, one of the few things in the universe that the Blight fears. The ship lands on a distant planet with a medieval-level civilization of dog-like creatures dubbed ""Tines"", who live in packs as group minds. The ship is revealed to be a sleeper ship, carrying most of High Lab's children in ""coldsleep boxes"". The boxes are rapidly failing and the surviving adults begin unloading them, but are killed when one of two rival forces of Tines seize the ship. The faction that initially contacts the humans, led by a Tine known as Steel, kills the adults and destroys many of the coldsleep boxes. They also capture a boy named Jefri Olsndot, whom Steel intended on killing but eventually exploits in order to develop advanced technology (such as cannon and radio communication). Jefri's older sister, Johanna, is rescued by Pilgrim and Scriber, wandering Tines who bring her to the rival faction, led by Woodcarver. She is asked to help develop technology that could gain the upper hand in the impending war. A distress signal from the sleeper ship eventually reaches ""Relay"", a major node in the galactic communications network. A benign transcendent entity (known as a ""Power"") named ""Old One"" contacts Relay, seeking information about the Blight and the humans who released it. Old One constructs a seemingly human man, Pham Nuwen, to act as its agent. Pham and Ravna Bergsndot – a human employee of Relay's owners, the wealthy Vrinimi Organization – trace the sleeper ship's signal to the Tines world. Old One designs a vessel, the Out of Band II, to reach the Tines world and to investigate what the ship carried with it from the High Lab. The Blight attacks Relay and Old One. Old One gives Pham the information necessary to activate the Blight Countermeasure while dying (a process known as godshatter), and Pham and Ravna escape Relay's destruction in the Out of Band II. After arriving at the Tines homeworld and allying with Woodcarver to defeat Steel, Pham initiates the Countermeasure, which extends the Slow Zone by thousands of light-years to enclose the Blight. This ends the threat of the Blight at the cost of wrecking thousands of uninvolved civilizations, causing trillions of deaths and potentially the extinction of several galactic races. The process also kills Pham and strands the other humans on the Tines world, now in the depths of the ""Slow Zone"" where rescue by an advanced civilization is impossible."
All Quiet on the Western Front,Erich Maria Remarque,"{""/m/039vk"": ""Other""}"," The book tells the story of Paul Bäumer, a German soldier who—urged on by his school teacher—joins the German army shortly after the start of World War I. Bäumer arrives at the Western Front with his friends and schoolmates (Tjaden, Müller, Kropp and a number of other characters). There they meet Stanislaus Katczinsky, an older soldier, nicknamed Kat, who becomes Paul's mentor. While fighting at the front, Bäumer and his comrades have to engage in frequent battles and endure the dangerous and often dirty conditions of warfare. At the very beginning of the book Erich Maria Remarque says ""This book is to be neither an accusation nor a confession, and least of all an adventure, for death is not an adventure to those who stand face to face with it. It will try simply to tell of a generation of men who, even though they may have escaped shells, were destroyed by the war."" The book does not focus on heroic stories of bravery, but rather gives a view of the conditions in which the soldiers find themselves. The monotony between battles, the constant threat of artillery fire and bombardments, the struggle to find food, the lack of training of young recruits (meaning lower chances of survival), and the overarching role of random chance in the lives and deaths of the soldiers are described in detail. The battles fought here have no names and seem to have little overall significance, except for the impending possibility of injury or death for Bäumer and his comrades. Only pitifully small pieces of land are gained, about the size of a football field, which are often lost again later. Remarque often refers to the living soldiers as old and dead, emotionally drained and shaken. ""We are not youth any longer. We don't want to take the world by storm. We are fleeing from ourselves, from our life. We were eighteen and had begun to love life and the world; and we had to shoot it to pieces."" Paul's visit on leave to his home highlights the cost of the war on his psyche. The town has not changed since he went off to war; however, he finds that he does ""not belong here anymore, it is a foreign world."" He feels disconnected from most of the townspeople. His father asks him ""stupid and distressing"" questions about his war experiences, not understanding ""that a man cannot talk of such things."" An old schoolmaster lectures him about strategy and advancing to Paris, while insisting that Paul and his friends know only their ""own little sector"" of the war but nothing of the big picture. Indeed, the only person he remains connected to is his dying mother, with whom he shares a tender, yet restrained relationship. The night before he is to return from leave, he stays up with her, exchanging small expressions of love and concern for each other. He thinks to himself, ""Ah! Mother, Mother! How can it be that I must part from you? Here I sit and there you are lying; we have so much to say, and we shall never say it."" In the end, he concludes that he ""ought never to have come [home] on leave."" Paul feels glad to be reunited with his comrades. Soon after, he volunteers to go on a patrol and kills a man for the first time in hand-to-hand combat. He watches the man die, in pain for hours. He feels remorse and asks forgiveness from the man's corpse. He is devastated and later confesses to Kat and Albert, who try to comfort him and reassure him that it is only part of the war. They are then sent on what Paul calls a ""good job."" They must guard a village that is being shelled too heavily. The men enjoy themselves but while evacuating the villagers, Paul and Albert are wounded. They recuperate in a Catholic hospital and Paul returns to active duty. By now, the war is nearing its end and the German Army is retreating. In despair, Paul watches as his friends fall one by one. It is the death of Kat that eventually makes Paul careless about living. In the final chapter, he comments that peace is coming soon, but he does not see the future as bright and shining with hope. Paul feels that he has no aims left in life and that their generation will be different and misunderstood. When he finally dies at the end of the novel, the situation report from the frontline states, ""All is Quiet on the Western Front,"" symbolizing the cheapness of human life in war."
A Wizard of Earthsea,Ursula K. Le Guin,"{""/m/0dwly"": ""Children's literature"", ""/m/01hmnh"": ""Fantasy"", ""/m/02xlf"": ""Fiction""}"," Ged is a young boy on Gont, one of the larger islands in the north of the archipelago of Earthsea. His mother is dead, his much older siblings have all left home, and his father is a dour, taciturn bronzesmith with nothing in common with his son, so the boy grows up wild and headstrong. Ged discovers by accident that he has an extraordinary talent for magic. His aunt, the village witch, teaches him the little she herself knows, but his power far exceeds hers. One day, he uses his talent and a fog-gathering spell he learned from a passing weatherworker to save his village from Karg raiders. The tale of his remarkable feat spreads far and wide, finally reaching the ear of a wise Gontish mage, Ogion the Silent. He recognizes that the boy is so powerful he must be trained so as not to become a danger to himself and others. In the rite of passage into adulthood, he gives the boy his ""true name"", Ged, and takes him as an apprentice. In this world, a magician who knows someone's true name has control over that person, so one's true name is revealed only to those whom one trusts completely. Normally, a person is referred to by his or her ""use name"". Ged's is Sparrowhawk. The undisciplined young man grows restless under the gentle, patient tutelage of his master. One day, at the taunting of the daughter of the local lord - who, it is later revealed, is also a witch - Ged seeks a powerful spell from one of Ogion's old books to impress the girl. As he reads the spell, to his horror, a shadowy being manifests. The shade advances on Ged, but is driven away by the timely return of Ogion. Ogion finally gives him a choice: stay with him or go to the renowned school for wizards, on the island of Roke. Though he has grown to love the old man, the youngster is drawn irresistibly to a life of doing, rather than being. At the school, Ged masters his craft with ease, but his pride and arrogance grow even faster than his skill and, in his hubris, he attempts to summon a dead spirit - a perilous spell which goes awry. The shadow seizes the chance to escape into the world and attacks him, scarring his face. It is driven off by the head of the school, the Archmage Nemmerle, who expends all of his power in the process and dies shortly thereafter. Ged is wracked with guilt at causing the old man's death, but after a painful and slow recovery, he graduates from the school. Normally, Roke's wizards are much sought after by princes and rich merchants, but the new Archmage sends a willing Ged to a poor island group instead, to protect the inhabitants from a powerful dragon and its maturing sons, who have been seen scouting the region. Ged eventually realizes that he cannot both defend the islanders against the dragon and himself against the nameless thing he summoned into the world. He takes a desperate gamble; in the old histories, he has found the true name of a dragon which might be the one he faces. His guess is right and by using the dragon's name, Yevaud, he is able to force the dragon to vow that neither it nor its offspring will ever trouble the islanders. Then, with no idea how to deal with his other foe, Ged tries to return to the safety of Roke, but the magical, protective Mage-wind drives away the ship on which he is a passenger. On the far northern island of Osskil, his nemesis takes possession of a man and nearly catches him. Ged flees to what appears to be a safe haven in the castle of Benderesk, the lord of Terranon. Serret, his wife, is the same girl who taunted Ged years ago. She tries to enslave Ged using the power of a stone which harbors one of the ""Nameless Ones"", ancient malevolent powers that predate people. Fortunately Ged realizes his peril just in time and flies away in the form of a falcon. He instinctively returns to Gont and Ogion, who advises him to turn the tables on his shadow. In following his master's wise guidance, the roles of Ged and his enemy become reversed, and the shadow becomes the hunted. Ged pursues the shadow southwards across the ocean, but is nearly drowned when the shadow lures him into steering his boat onto rocks. The vessel sinks, but he manages to reach a small island inhabited by only two old people, a Kargish man and his sister, who were abandoned there as children and who have forgotten there is an outside world and other people. Despite their initial fear of him, they provide him with food and water. After Ged regains his strength, he constructs another boat. When he is ready to leave, he offers to take the pair wherever they want to go, but the man fearfully turns him down, and the woman does not seem to understand what he means. However, she gives him a parting gift of one of her few possessions, a broken half of an armlet. (The siblings' story and the gift's significance are revealed in the sequel, The Tombs of Atuan.) Back at sea, the shadow nearly takes Ged unawares, but he senses it just in time and comes to grips with it, forging a bond that cannot be broken. Ged follows the shadow south. On the island of Iffish, his luck begins to improve. The resident wizard is Vetch (true name Estarriol), the only friend he made at school. Estarriol insists on accompanying him. The two wizards eventually leave behind the last known island of Earthsea and head out into the open sea. As they draw closer to the shadow, Ged perceives the water gradually congealing and turning into land, an immensely powerful magic. Though Vetch cannot see the transformation, the boat runs aground. Ged steps out of the boat and walks off to confront his waiting shadow. Though some of his teachers had thought it to be nameless, Ged and his adversary speak at the same moment, each naming the other ""Ged"". The two embrace and become one. The sea returns to its normal state; fortunately, Estarriol is able to fish his healed friend out of the water."
Blade Runner 3: Replicant Night,K. W. Jeter,"{""/m/06n90"": ""Science Fiction""}","Living on Mars, Deckard is acting as a consultant to a movie crew filming the story of his Blade Runner days. He finds himself drawn into a mission on behalf of the replicants he was once assigned to kill. Meanwhile, the mystery surrounding the beginnings of the Tyrell Corporation is being dragged out into the light."
Blade Runner 2: The Edge of Human,K. W. Jeter,"{""/m/06n90"": ""Science Fiction""}"," Beginning several months after the events in Blade Runner, Deckard has retired to an isolated shack outside the city, taking the replicant Rachael with him in a Tyrell transport container, which slows down the replicant aging process. He is approached by a woman who explains she is Sarah Tyrell, niece of Eldon Tyrell, heiress to the entire Tyrell Corporation and the human template (templant) for the Rachael replicant. She asks Deckard to hunt down the ""missing"" sixth replicant. At the same time, the human template for Roy Batty hires Dave Holden, the blade runner attacked by Leon, to help him hunt down the man he believes is the sixth replicant - Deckard. Deckard and Holden's investigations lead them to re-visit Sebastian, Bryant, and John Isidore (from the book Do Androids Dream Of Electric Sheep?), learning more about the nature of the blade runners and the replicants. When Deckard, Batty, and Holden finally clash, Batty's inhuman fighting prowess leads Holden to believe he has been duped all along and that Batty is the sixth replicant; he shoots him. Deckard returns to Sarah with his suspicion: there is no sixth replicant. Sarah, speaking via a remote camera, confesses that she created and maintained the rumor herself, to deliberately discredit and eventually destroy the Tyrell Corporation, after her uncle Eldon created Rachael based on her and then abandoned the real Sarah. Sarah brings Rachael back to the Corporation building to meet with Deckard, and he escapes with her. However, Holden - recovering from his injuries during the fight - later finds the truth: Rachael has been killed by Tyrell agents, and the ""Rachael"" who escaped with Deckard was actually Sarah. She has completed her revenge by both destroying Tyrell, and taking back Rachael's place."
Crash,J. G. Ballard,"{""/m/02xlf"": ""Fiction""}"," The story is told through the eyes of narrator James Ballard, named after the author himself, but it centers on the sinister figure of Dr. Robert Vaughan, a “former TV-scientist, turned nightmare angel of the expressways”. Ballard meets Vaughan after being involved in a car accident himself near London Airport. Gathering around Vaughan is a group of alienated people, all of them former crash-victims, who follow him in his pursuit to re-enact the crashes of celebrities, and experience what the narrator calls ""a new sexuality, born from a perverse technology"". Vaughan’s ultimate fantasy is to die in a head-on collision with movie star Elizabeth Taylor."
Children of Dune,Frank Herbert,"{""/m/06n90"": ""Science Fiction"", ""/m/0dwly"": ""Children's literature"", ""/m/02xlf"": ""Fiction""}"," Nine years after Emperor Paul Muad'dib walked into the desert, blind, the ecological transformation of Dune has reached the point where some Fremen are living without stillsuits in the less arid climate and have started to move out of the Sietches and into the villages and cities. As the old ways erode, more and more pilgrims arrive to experience the planet of Muad'dib. The Imperial high council has lost the political initiative and is powerless to control the Jihad. Paul's twin young children, Leto II and Ghanima, sharing his prescience, have concluded that their guardian Alia has succumbed to possession by one of her ancestors and fear that a similar fate awaits them. They (and Alia) also realize that the terraforming of Dune will kill all the sandworms, thus destroying the source of the spice. Leto also fears that, like his father, he will be trapped by his prescience. Possessed by the persona of her grandfather Baron Vladimir Harkonnen, Alia fears that her mother, about to return to Arrakis, will recognize her ""abomination."" A new religious figure called ""The Preacher"" has risen in the desert, railing against the religious government's injustices and the changes among the Fremen. Some Fremen believe he is Paul Atreides. The fallen House Corrino on Salusa Secundus plots to assassinate the twins and regain power. Lady Jessica returns to Arrakis and recognizes that her daughter has been possessed but finds no signs of abomination in the twins. She plans with them to thwart Alia's plotting. Leto arranges for Fremen leader Stilgar to protect his sister if there is an attempt on their lives. Alia attempts to assassinate Jessica who escapes into the desert with Duncan Idaho's help, precipitating a rebellion among the Fremen. The twins anticipate and survive the Corrino assassination plot. Leto leaves to seek out the Preacher while Ghanima, masking her memory with self-hypnosis, reports falsely that her brother had been murdered. Duncan and Jessica flee to Salusa Secundus where Jessica begins to mentor the Corrino heir Farad'n. He seizes power from his regent mother and allies with the Bene Gesserit, who promise to marry him to Ghanima and support his bid for coronation as Emperor. A band of Fremen outlaws capture Leto and force him to undergo the spice trance at the suggestion of one of Alia's agents, who has infiltrated the group. His spice-induced visions show him a myriad of possible futures where humanity has become extinct and only one where humanity survives. He names this future ""The Golden Path"" and resolves to bring it to fruition. He escapes his captors and sacrifices his humanity in pursuit of the Golden Path. This requires him to physically fuse with a school of sandtrout, gaining superhuman strength and near-invulnerability. He travels across the desert and confronts the Preacher who does, in fact, prove to be his father, Paul Atreides. Duncan Idaho returns to Arrakis and provokes Stilgar into killing him. With Stilgar's neutrality now untenable, he seizes Ghanima and flees. Alia recaptures Ghanima and arranges her marriage to Farad'n, planning to exploit the expected chaos when Ghanima kills him to avenge her brother's murder. The Preacher and Leto return to the capital to confront Alia who has the Preacher murdered, revealing his true identity. Leto reveals himself in a display of superhuman strength and triggers the return of Ghanima's genuine memories. He confronts Alia and offers to help her overcome her possession but she is overwhelmed by her ancestral personae and elects to commit suicide. Leto declares himself Emperor and asserts control over the Fremen. Farad'n enlists in his service and delivers control of the Corrino armies. The seemingly immortal and omnipotent Leto is left as Emperor of the Known Universe, with Ghanima at his side."
